,StoreNum,Weekend,Item,Qty,lag1,lag2,lag3
0,1,0,6,4,1,4,5
1,1,0,7,4,3,7,13
2,1,0,11,6,2,1,9
3,1,0,14,2,6,4,8
4,1,0,15,4,8,5,5
5,1,0,17,3,2,3,9
6,1,0,37,4,2,2,9
7,1,0,43,5,1,1,3
8,2,0,0,19,42,39,33
9,2,0,1,37,35,22,30
10,2,0,2,29,34,35,32
11,2,0,3,32,14,27,31
12,2,0,4,38,49,33,45
13,2,0,5,18,41,26,39
14,2,0,6,10,13,28,5
15,2,0,7,31,33,55,39
16,2,0,8,15,22,13,8
17,2,0,9,27,34,23,28
18,2,0,10,17,22,10,22
19,2,0,11,24,21,28,25
20,2,0,12,35,21,31,17
21,2,0,13,7,7,22,8
22,2,0,14,47,30,44,37
23,2,0,15,22,27,24,19
24,2,0,16,26,30,34,40
25,2,0,17,27,18,41,22
26,2,0,18,26,14,42,31
27,2,0,19,28,45,26,17
28,2,0,20,11,25,14,19
29,2,0,21,34,11,7,21
30,2,0,22,35,47,45,39
31,2,0,23,22,7,31,10
32,2,0,24,23,26,24,25
33,2,0,25,23,14,9,30
34,2,0,26,15,5,18,20
35,2,0,27,36,18,49,25
36,2,0,28,36,33,62,25
37,2,0,29,30,13,14,19
38,2,0,30,28,28,21,15
39,2,0,31,39,48,33,32
40,2,0,32,33,39,45,33
41,2,0,33,24,36,40,39
42,2,0,34,32,39,11,22
43,2,0,35,25,13,39,29
44,2,0,36,44,37,38,12
45,2,0,37,41,25,40,37
46,2,0,38,20,7,8,15
47,2,0,39,35,25,16,18
48,2,0,40,25,22,20,13
49,2,0,41,21,23,33,4
50,2,0,42,23,54,27,36
51,2,0,43,21,31,31,18
52,2,0,44,38,13,33,37
53,2,0,45,29,23,56,55
54,2,0,46,26,20,30,53
55,2,0,47,31,27,34,30
56,2,0,48,36,25,17,21
57,2,0,49,32,19,46,31
58,3,0,0,29,36,35,24
59,3,0,1,38,47,41,37
60,3,0,2,28,26,9,6
61,3,0,3,33,22,37,23
62,3,0,4,24,12,27,46
63,3,0,5,50,21,31,45
64,3,0,6,44,6,22,16
65,3,0,7,49,33,40,44
66,3,0,8,13,19,15,19
67,3,0,9,21,30,35,22
68,3,0,10,5,11,9,14
69,3,0,11,27,35,31,28
70,3,0,12,41,35,19,33
71,3,0,13,22,21,16,18
72,3,0,14,50,37,32,47
73,3,0,15,20,29,21,24
74,3,0,16,20,19,53,16
75,3,0,17,36,15,25,63
76,3,0,18,47,16,19,48
77,3,0,19,50,31,18,30
78,3,0,20,14,23,11,21
79,3,0,21,16,9,19,27
80,3,0,22,34,26,38,47
81,3,0,23,17,26,53,22
82,3,0,24,20,27,36,22
83,3,0,25,11,13,17,17
84,3,0,26,6,9,21,28
85,3,0,27,26,38,43,24
86,3,0,28,27,28,37,43
87,3,0,29,36,23,28,48
88,3,0,30,30,14,30,20
89,3,0,31,57,25,12,22
