Data: West Nile,,,,,,,,,
Type: Classification,,,,,,,,,
Data Count: 10506,,,,,,,,,
Sampling Type: Random,,,,,,,,,
---,,,,,,,,,
All Data Result (Acc): ,,,,,,,,,
1,Logistic Regression,,,,,,,,
2,Naive Bayes,,,,,,,,
3,Decision Tree,,,,,,,,
All Data Result (Time): ,,,,,,,,,
1,Naive Bayes,,,,,,,,
2,Decision Tree,,,,,,,,
3,Logistic Regression,,,,,,,,
---,,,,,,,,,
Percentage Sampling,Acc. Decision Tree,Acc. Naive Bayes,Acc. Logistic Regression,Time. Decision Tree,Time. Naive Bayes,Time. Logistic Regression,Acc. Recommender,Acc. Runtime Recommender,Total Time
Iteration-1,,,,,,,,,
0.1,0.920952381,0.923809524,0.951428571,0.003034244,0.001090099,0.009476972,1,1,0.2248808
0.2,0.908167025,0.859125938,0.938602765,0.007067318,0.001755008,0.015429266,0.333333333,1,0.322906526
0.3,0.907971119,0.881608597,0.95017753,0.010262841,0.001910423,0.028376669,0.333333333,1,0.523330836
0.4,0.921004171,0.889358338,0.951215764,0.012662232,0.002296759,0.043686075,0.333333333,1,0.650989373
0.5,0.909577404,0.876454101,0.946126743,0.018339985,0.003102421,0.050608242,0.333333333,1,0.759120692
Average,0.91353442,0.8860713,0.947510275,0.010273324,0.002030942,0.029515445,0.466666667,1,
Deviation,0.006103123,0.0213234,0.004846769,0.005166445,0.000662507,0.015792216,,,
Iteration-2,,,,,,,,,
0.1,0.919064206,0.92387138,0.951436692,0.003217515,0.001210692,0.010078836,1,1,0.218383457
0.2,0.915763612,0.870541142,0.946695768,0.006294645,0.001562207,0.015835762,0.333333333,1,0.32036235
0.3,0.909560827,0.901644424,0.952714397,0.010273837,0.001992162,0.028964604,0.333333333,1,0.45921768
0.4,0.911472387,0.884095267,0.948359744,0.013777623,0.002659637,0.025797671,0.333333333,1,0.520599723
0.5,0.913006585,0.873206031,0.948792251,0.018232221,0.003375129,0.038379264,0.333333333,1,0.764571922
Average,0.913773523,0.890671649,0.94959977,0.010359168,0.002159965,0.023811227,0.466666667,1,
Deviation,0.003334127,0.019880432,0.00217707,0.005314163,0.000776259,0.009949046,,,
Iteration-3,,,,,,,,,
0.1,0.909627479,0.911559196,0.949548172,0.003294856,0.001341181,0.00910823,1,1,0.224664906
0.2,0.911962727,0.84385777,0.941940374,0.007290909,0.001498062,0.020984593,0.333333333,1,0.384250082
0.3,0.902257006,0.859417761,0.940338327,0.013008615,0.002114587,0.031639635,0.333333333,1,0.474749944
0.4,0.920282595,0.874581193,0.950500967,0.014855993,0.002788293,0.039376627,0.333333333,1,0.678803031
0.5,0.916048036,0.885024275,0.949553794,0.021120214,0.003546671,0.036431454,0.333333333,1,0.763930105
Average,0.912035569,0.874888039,0.946376327,0.011914117,0.002257759,0.027508108,0.466666667,1,
Deviation,0.006091598,0.023020939,0.00431983,0.0061688,0.000822255,0.011123571,,,
Iteration-4,,,,,,,,,
0.1,0.913313982,0.840957737,0.94191271,0.00297523,0.001290232,0.009283071,0.333333333,1,0.196304732
0.2,0.914341401,0.889143799,0.95003572,0.006570652,0.001571737,0.020268002,0.333333333,1,0.379682588
0.3,0.90479468,0.906388054,0.94668555,0.011360271,0.001893195,0.032353661,1,1,0.532041733
0.4,0.917900988,0.890763116,0.945979915,0.014299214,0.0023741,0.024499375,0.333333333,1,0.557720278
0.5,0.91624219,0.86768415,0.946507293,0.018421724,0.00324354,0.031257331,0.333333333,1,0.649446593
Average,0.913318648,0.878987371,0.946224238,0.010725418,0.002074561,0.023532288,0.466666667,1,
Deviation,0.004544205,0.022656718,0.002587249,0.005472397,0.000686605,0.008391948,,,
Iteration-5,,,,,,,,,
0.1,0.934293835,0.890465305,0.953341627,0.003181594,0.001271172,0.009979869,0.333333333,1,0.219408678
0.2,0.911930181,0.885793566,0.944797064,0.006993643,0.001476436,0.019829616,0.333333333,1,0.36195693
0.3,0.91622098,0.884151114,0.950495899,0.010138949,0.002150875,0.021672228,0.333333333,1,0.435238062
0.4,0.919324459,0.867466521,0.946693635,0.014619939,0.002915484,0.041684016,0.333333333,1,0.606414431
0.5,0.9128158,0.852270771,0.944603979,0.019334783,0.003158135,0.051723999,0.333333333,1,0.858878701
Average,0.918917051,0.876029455,0.947986441,0.010853782,0.00219442,0.028977946,0.333333333,1,
Deviation,0.008123077,0.014195013,0.0034135,0.005663664,0.000750795,0.015341574,,,
,,,,,,,,,
,,,,,,,,,
Average Result,,,,,,,,,
Percentage Sampling,Acc. Decision Tree,Acc. Naive Bayes,Acc. Logistic Regression,Time. Decision Tree,Time. Naive Bayes,Time. Logistic Regression,Acc. Recommender,Acc. Runtime Recommender,Total Time
0.1,0.919450377,0.898132628,0.949533554,0.003140688,0.001240675,0.009585396,0.733333333,1,0.216728515
0.2,0.912432989,0.869692443,0.944414338,0.006843433,0.00157269,0.018469448,0.333333333,1,0.353831695
0.3,0.908160922,0.88664199,0.948082341,0.011008903,0.002012248,0.028601359,0.466666667,1,0.484915651
0.4,0.91799692,0.881252887,0.948550005,0.014043,0.002606855,0.035008753,0.333333333,1,0.602905367
0.5,0.913538003,0.870927865,0.947116812,0.019089785,0.003285179,0.041680058,0.333333333,1,0.759189602
Average,0.914315842,0.881329563,0.94753941,0.010825162,0.002143529,0.026669003,0.44,1,
Deviation,0.004048382,0.01052795,0.0017457,0.005542518,0.000731611,0.011469085,,,
