,Species,AddressAccuracy,NumMosquitos,WnvPresent,Station_x,Tavg_x_x,Tmin_x,Tmax_x,Station_y,Tavg_x_y,Tmin_y,Tmax_y
0,0,9,1,0,1,74,60,88,2,77,65,88
1,1,9,1,0,1,74,60,88,2,77,65,88
2,1,9,1,0,1,74,60,88,2,77,65,88
3,0,8,1,0,1,74,60,88,2,77,65,88
4,1,8,4,0,1,74,60,88,2,77,65,88
5,1,8,2,0,1,74,60,88,2,77,65,88
6,1,8,1,0,1,74,60,88,2,77,65,88
7,0,8,1,0,1,74,60,88,2,77,65,88
8,1,8,2,0,1,74,60,88,2,77,65,88
9,1,8,1,0,1,74,60,88,2,77,65,88
10,0,8,1,0,1,74,60,88,2,77,65,88
11,0,8,2,0,1,74,60,88,2,77,65,88
12,1,8,3,0,1,74,60,88,2,77,65,88
13,0,8,1,0,1,74,60,88,2,77,65,88
14,1,8,1,0,1,74,60,88,2,77,65,88
15,1,8,1,0,1,74,60,88,2,77,65,88
16,1,9,3,0,1,74,60,88,2,77,65,88
17,1,8,5,0,1,74,60,88,2,77,65,88
18,2,8,1,0,1,74,60,88,2,77,65,88
19,0,5,1,0,1,74,60,88,2,77,65,88
20,1,5,2,0,1,74,60,88,2,77,65,88
21,0,8,1,0,1,74,60,88,2,77,65,88
22,0,8,1,0,1,74,60,88,2,77,65,88
23,1,8,1,0,1,74,60,88,2,77,65,88
24,1,8,1,0,1,74,60,88,2,77,65,88
25,0,9,3,0,1,56,47,64,2,57,51,63
26,1,9,5,0,1,56,47,64,2,57,51,63
27,2,9,1,0,1,56,47,64,2,57,51,63
28,0,8,1,0,1,56,47,64,2,57,51,63
29,1,8,2,0,1,56,47,64,2,57,51,63
30,0,8,1,0,1,56,47,64,2,57,51,63
31,1,8,2,0,1,56,47,64,2,57,51,63
32,2,8,1,0,1,56,47,64,2,57,51,63
33,1,8,1,0,1,56,47,64,2,57,51,63
34,0,8,1,0,1,56,47,64,2,57,51,63
35,1,8,1,0,1,56,47,64,2,57,51,63
36,2,8,2,0,1,56,47,64,2,57,51,63
37,1,8,2,0,1,56,47,64,2,57,51,63
38,0,8,1,0,1,56,47,64,2,57,51,63
